Epics/Tasks,Topic,Progress,Details,Link
Epic 2.1: Instrumental Variables Analysis,Use OPEC quotas and weather shocks as instruments,Not Yet,,

Task 2.1.1,Literature review: identify valid instruments (OPEC quotas weather shocks),Not Yet,Find 3-5 key papers on IV methods,
Task 2.1.2,Prepare IV framework: endogenous = commodity prices outcomes = sectoral IIP,Not Yet,Create panel data structure,
Task 2.1.3,Run first-stage regressions: OPEC quotas → oil prices check F-stat > 10,Not Yet,Use statsmodels IV2SLS,
Task 2.1.4,Run second-stage 2SLS: instrumented prices → sectoral output (IIP),Not Yet,For energy-intensive sectors,
Task 2.1.5,Test instrument validity: Sargan-Hansen J-test,Not Yet,Ensure instruments are valid,
Task 2.1.6,Robustness checks: alternative instruments pre/post 2015 subsamples,Not Yet,Output: outputs/tables/iv_robustness.csv,
Task 2.1.7,Create IV results tables and coefficient plots,Not Yet,Output: outputs/figures/iv_results.png,

Epic 2.2: Synthetic Control Methods,Analyze major commodity shock events,Not Yet,,

Task 2.2.1,Define treatment events: 2008 crisis 2014 oil crash 2022 Ukraine war,Not Yet,Identify pre/post periods,
Task 2.2.2,Select donor pool: Brazil Indonesia Turkey Mexico South Africa,Not Yet,Similar emerging markets,
Task 2.2.3,Collect predictor variables: GDP per capita trade openness commodity dependence,Not Yet,For synthetic control matching,
Task 2.2.4,Construct synthetic India: optimize weights to match pre-treatment,Not Yet,Use synth package,
Task 2.2.5,Estimate treatment effects: actual India vs synthetic India post-shock,Not Yet,For 3 major events,
Task 2.2.6,Conduct placebo tests: run SCM on all donors,Not Yet,Check if India's effect is unusual,
Task 2.2.7,Create SCM visualizations: actual vs synthetic trajectories,Not Yet,Output: 3 event plots,

Epic 2.3: VAR & Granger Causality,Test temporal causation,Not Yet,,

Task 2.3.1,Test stationarity: ADF tests on all time series,Not Yet,Difference if needed,
Task 2.3.2,Determine optimal lag length: AIC/BIC criteria,Not Yet,Typically 3-6 lags for monthly,
Task 2.3.3,Run Granger causality tests: commodity prices → sectoral IIP,Not Yet,Create p-value matrix,
Task 2.3.4,Estimate VAR model: oil price IIP exchange rate,Not Yet,3-variable VAR,
Task 2.3.5,Generate impulse response functions: sector responses to commodity shock,Not Yet,24-month horizon,
Task 2.3.6,Forecast error variance decomposition: % variance from commodity shocks,Not Yet,Output: outputs/tables/fevd_results.csv,
Task 2.3.7,Check VAR stability: roots inside unit circle,Not Yet,Ensure model stability,
Task 2.3.8,Create IRF plots with 95% confidence bands,Not Yet,Output: outputs/figures/var_irf_grid.png,

Epic 2.4: Feature Engineering,Create 150+ features for ML models,Not Yet,,

Task 2.4.1,Extract network centrality features: degree betweenness closeness for 139 sectors,Not Yet,From production network,
Task 2.4.2,Create lagged commodity price features: 1 3 6 12-month lags,Not Yet,30+ lagged price features,
Task 2.4.3,Create price volatility features: rolling 3 6 12-month standard deviations,Not Yet,Measure price uncertainty,
Task 2.4.4,Create shock indicators: binary variables for price changes > 2 SD,Not Yet,Large shock dummies,
Task 2.4.5,Create commodity exposure features: energy input share food input share,Not Yet,From I-O table,
Task 2.4.6,Create trade concentration features: HHI partner diversification,Not Yet,From IMF DOTS,
Task 2.4.7,Create interaction features: centrality × commodity exposure,Not Yet,50+ interaction terms,
Task 2.4.8,Create temporal features: month quarter year cyclical encodings,Not Yet,Capture seasonality,
Task 2.4.9,Merge all into master ML dataset: 150+ features,Not Yet,Output: data/processed/features_engineered.csv,

Epic 2.5: Feature Selection,Reduce dimensionality and prepare train/test,Not Yet,,

Task 2.5.1,Calculate correlation matrix: identify multicollinearity (|r| > 0.9),Not Yet,Create heatmap,
Task 2.5.2,Calculate VIF: drop features with VIF > 10,Not Yet,Remove redundant features,
Task 2.5.3,Run Random Forest for feature importance: rank top 50 features,Not Yet,Identify most predictive,
Task 2.5.4,Apply PCA if needed: retain 95% variance,Not Yet,Only if necessary,
Task 2.5.5,Normalize features: standardize to mean=0 std=1,Not Yet,Use StandardScaler,
Task 2.5.6,Create train-test split: 80% train (2010-2020) 20% test (2021-2024),Not Yet,Preserve temporal order,
Task 2.5.7,Sprint 2 deliverables: causal evidence summary + feature documentation,Not Yet,Output: presentations/sprint2_review.pptx,

SPRINT 3: Predictive Modeling & Delivery,Build models run scenarios deliver project,Not Yet,,

Epic 3.1: Baseline & LSTM Models,Train time-series neural networks,Not Yet,,

Task 3.1.1,Build naive baselines: moving average linear regression,Not Yet,For comparison,
Task 3.1.2,Design LSTM architecture: 2-3 LSTM layers dropout dense output,Not Yet,Use Keras/TensorFlow,
Task 3.1.3,Prepare sequential data: create 12-month sequences,Not Yet,3D tensor format,
Task 3.1.4,Train LSTM model: Adam optimizer MSE loss early stopping,Not Yet,Train on energy sector,
Task 3.1.5,Hyperparameter tuning: grid search over units dropout,Not Yet,50/100/200 units 0.2/0.3/0.5 dropout,
Task 3.1.6,Train sector-specific LSTMs: 5 key sectors,Not Yet,Energy Manufacturing Agriculture Services Exports,
Task 3.1.7,Evaluate LSTM: calculate RMSE MAE MAPE on test set,Not Yet,Compare to baselines,
Task 3.1.8,Create learning curves: training vs validation loss,Not Yet,Output: outputs/figures/lstm_learning_curves.png,

Epic 3.2: XGBoost & Ensemble,Train gradient boosting and ensemble,Not Yet,,

Task 3.2.1,Train XGBoost model: use all 150+ features cross-validation,Not Yet,3-fold time series CV,
Task 3.2.2,Hyperparameter tuning: max_depth learning_rate n_estimators,Not Yet,RandomizedSearchCV,
Task 3.2.3,Extract feature importance: identify top 30 predictive features,Not Yet,Output: outputs/figures/xgboost_feature_importance.png,
Task 3.2.4,Train Random Forest: additional baseline,Not Yet,500 trees,
Task 3.2.5,Build ensemble model: stack LSTM + XGBoost with meta-learner,Not Yet,Linear regression meta-learner,
Task 3.2.6,5-fold time series cross-validation: expanding window,Not Yet,Validate ensemble,
Task 3.2.7,Create model comparison table: all models × all metrics,Not Yet,Output: outputs/tables/model_comparison.csv,

Epic 3.3: Graph Neural Networks,Train GNN on production network,Not Yet,,

Task 3.3.1,Install PyTorch Geometric: set up GNN environment,Not Yet,pip install torch-geometric,
Task 3.3.2,Convert production network to PyG format: node features + edge indices,Not Yet,Data object with 139 nodes,
Task 3.3.3,Design GNN architecture: 2-3 GraphSAGE layers + global pooling,Not Yet,Use PyTorch,
Task 3.3.4,Prepare node features: sector characteristics from I-O table,Not Yet,Output linkages centrality,
Task 3.3.5,Train GNN on production network: predict sectoral stress from graph,Not Yet,Train 50 epochs,
Task 3.3.6,Evaluate GNN vs traditional models: test set comparison,Not Yet,Compare to LSTM/XGBoost,
Task 3.3.7,Ablation study: GNN with vs without network features,Not Yet,Quantify network benefit,

Epic 3.4: Model Evaluation,Comprehensive evaluation and comparison,Not Yet,,

Task 3.4.1,Create model comparison table: RMSE MAE MAPE R² for all models,Not Yet,Baseline LSTM XGBoost GNN Ensemble,
Task 3.4.2,Generate prediction plots: actual vs predicted for 5 sectors,Not Yet,Time series plots,
Task 3.4.3,Error analysis: identify when/where models fail,Not Yet,Which shocks which sectors,
Task 3.4.4,Statistical significance tests: Diebold-Mariano test,Not Yet,Test forecast accuracy differences,
Task 3.4.5,Create residual diagnostic plots,Not Yet,Check for patterns,

Epic 3.5: Scenario Simulation & Vulnerability,Policy analysis and vulnerability ranking,Not Yet,,

Task 3.5.1,Historical scenario 1: Simulate 2008 financial crisis on current India,Not Yet,Use trained models,
Task 3.5.2,Historical scenario 2: Simulate 2014 oil price crash,Not Yet,Oil shock impact,
Task 3.5.3,Historical scenario 3: Simulate 2022 Ukraine war (multi-commodity),Not Yet,Energy + food shock,
Task 3.5.4,Counterfactual: diversified energy imports (reduce Gulf 30%),Not Yet,Network rewiring,
Task 3.5.5,Policy intervention 1: Strategic petroleum reserve (buffer 10% shocks),Not Yet,Shock dampening,
Task 3.5.6,Policy intervention 2: Commodity hedging via futures,Not Yet,Volatility reduction,
Task 3.5.7,Calculate sectoral vulnerability index: exposure × centrality × volatility,Not Yet,Rank 139 sectors,
Task 3.5.8,Identify top 10 vulnerable sectors,Not Yet,Priority for policy,
Task 3.5.9,Create scenario comparison visualizations,Not Yet,Bar charts heatmaps,
Task 3.5.10,Write policy recommendations: 3-5 actionable insights,Not Yet,2-3 page policy brief,

Epic 3.6: Dashboard & Final Delivery,Interactive dashboard and complete documentation,Not Yet,,

Task 3.6.1,Set up Streamlit app: multi-page layout,Not Yet,Home Networks Predictions Scenarios,
Task 3.6.2,Build network visualization page: interactive production network,Not Yet,Plotly interactive graph,
Task 3.6.3,Build prediction page: select sector see predictions,Not Yet,Time series with model comparison,
Task 3.6.4,Build scenario page: dropdown for scenarios view impacts,Not Yet,Interactive scenario analysis,
Task 3.6.5,Add filters: date range sector selection,Not Yet,User controls,
Task 3.6.6,Style dashboard: professional theme,Not Yet,Consistent colors labels,
Task 3.6.7,Test dashboard: user acceptance testing,Not Yet,Fix bugs,

Epic 3.7: Final Report & Presentation,Complete all documentation,Not Yet,,

Task 3.7.1,Write Introduction: research question motivation contributions,Not Yet,2-3 pages,
Task 3.7.2,Write Literature Review: production networks commodity shocks,Not Yet,3-4 pages,
Task 3.7.3,Write Methodology: data sources production network construction,Not Yet,4-5 pages,
Task 3.7.4,Write Results - Causal Analysis: IV SCM VAR findings,Not Yet,3-4 pages,
Task 3.7.5,Write Results - Predictive Models: model comparison,Not Yet,2-3 pages,
Task 3.7.6,Write Results - Scenarios: vulnerability index policy implications,Not Yet,2-3 pages,
Task 3.7.7,Write Discussion: interpret findings limitations,Not Yet,2-3 pages,
Task 3.7.8,Write Conclusion: summary policy recommendations future work,Not Yet,1-2 pages,
Task 3.7.9,Create all tables: 10-15 formatted tables,Not Yet,LaTeX or Excel,
Task 3.7.10,Create all figures: 15-20 publication-quality figures,Not Yet,High-resolution PNG,
Task 3.7.11,Format references: 30+ citations,Not Yet,APA or Chicago style,
Task 3.7.12,Proofread and edit: grammar consistency flow,Not Yet,Final polish,
Task 3.7.13,Create presentation deck: 20 slides,Not Yet,Clear narrative,
Task 3.7.14,Practice presentation: 15-20 minutes,Not Yet,Smooth delivery,

Epic 3.8: Code Organization,Clean and document all code,Not Yet,,

Task 3.8.1,Organize code into modules: clean script structure,Not Yet,data_processing.py network_analysis.py models.py,
Task 3.8.2,Write docstrings: document all functions,Not Yet,Google-style docstrings,
Task 3.8.3,Create requirements.txt: all packages with versions,Not Yet,pip freeze,
Task 3.8.4,Write README.md: installation usage instructions,Not Yet,Clear reproduction steps,
Task 3.8.5,Create tutorial notebook: step-by-step guide,Not Yet,Jupyter notebook,
Task 3.8.6,Final code review: optimize remove dead code,Not Yet,Production-ready code,

DELIVERABLES,Final project outputs,Not Yet,,

Final Report,18-25 page research report,Not Yet,PDF format,
Presentation,20-slide deck,Not Yet,PowerPoint,
Code Repository,Organized documented code,Not Yet,GitHub,
Interactive Dashboard,Streamlit app with 4 pages,Not Yet,Local or deployed,
Data Files,All processed datasets,Not Yet,CSV format,
Network Visualizations,10-15 high-quality figures,Not Yet,PNG/PDF,
Policy Brief,2-3 page recommendations,Not Yet,Standalone document,
